iter	Passed	Remaining
420	2368	3257
421	2376	3254
422	2382	3249
423	2387	3243
424	2394	3239
425	2401	3235
426	2407	3230
427	2413	3225
428	2418	3219
429	2426	3216
430	2432	3211
431	2438	3205
432	2444	3200
433	2450	3195
434	2457	3191
435	2462	3185
436	2467	3179
437	2474	3175
438	2480	3169
439	2486	3164
440	2493	3160
441	2499	3155
442	2505	3149
443	2510	3144
444	2515	3137
445	2521	3132
446	2527	3126
447	2532	3120
448	2538	3115
449	2543	3109
450	2549	3102
451	2555	3097
452	2560	3091
453	2565	3085
454	2571	3079
455	2576	3074
456	2581	3067
457	2589	3063
458	2594	3057
459	2599	3051
460	2607	3048
461	2613	3042
462	2618	3037
463	2625	3032
464	2630	3026
465	2635	3020
466	2641	3014
467	2646	3008
468	2651	3002
469	2656	2995
470	2661	2988
471	2666	2983
472	2672	2977
473	2677	2971
474	2682	2964
475	2687	2958
476	2693	2952
477	2698	2947
478	2704	2941
479	2710	2935
480	2715	2930
481	2721	2924
482	2725	2917
483	2731	2912
484	2736	2906
485	2741	2899
486	2745	2892
487	2751	2886
488	2756	2880
489	2760	2873
490	2765	2866
491	2770	2860
492	2775	2853
493	2779	2847
494	2784	2840
495	2789	2834
496	2794	2827
497	2798	2821
498	2803	2814
499	2808	2808
500	2812	2801
501	2817	2794
502	2821	2788
503	2826	2781
504	2831	2775
505	2835	2768
506	2841	2762
507	2845	2756
508	2850	2749
509	2856	2744
510	2860	2737
511	2865	2731
512	2870	2724
513	2875	2718
514	2880	2712
515	2885	2706
516	2890	2700
517	2894	2693
518	2899	2687
519	2904	2681
520	2909	2675
521	2915	2669
522	2921	2664
523	2926	2658
524	2930	2651
525	2935	2645
526	2940	2638
527	2945	2633
528	2951	2627
529	2955	2621
530	2961	2615
531	2966	2609
532	2972	2604
533	2977	2598
534	2982	2592
535	2988	2587
536	2993	2581
537	2998	2574
538	3003	2568
539	3008	2563
540	3013	2556
541	3018	2550
542	3023	2545
543	3028	2538
544	3033	2532
545	3038	2526
546	3043	2520
547	3048	2514
548	3053	2508
549	3058	2502
550	3064	2497
551	3069	2491
552	3074	2485
553	3079	2478
554	3083	2472
555	3088	2466
556	3093	2460
557	3098	2454
558	3103	2448
559	3108	2442
560	3113	2436
561	3118	2430
562	3123	2424
563	3128	2418
564	3133	2412
565	3138	2406
566	3143	2400
567	3149	2395
568	3154	2389
569	3159	2383
570	3164	2377
571	3169	2371
572	3174	2365
573	3179	2359
574	3184	2353
575	3189	2347
576	3194	2341
577	3198	2335
578	3204	2329
579	3210	2324
580	3215	2318
581	3220	2312
582	3224	2306
583	3229	2300
584	3235	2295
585	3240	2289
586	3244	2282
587	3249	2276
588	3254	2271
589	3260	2265
590	3264	2259
591	3269	2253
592	3274	2247
593	3278	2241
594	3283	2235
595	3289	2229
596	3293	2223
597	3298	2217
598	3303	2211
599	3308	2205
600	3313	2199
601	3317	2193
602	3323	2187
603	3328	2182
604	3333	2176
605	3337	2169
606	3341	2163
607	3346	2157
608	3351	2151
609	3356	2145
610	3361	2140
611	3366	2134
612	3371	2128
613	3377	2123
614	3382	2117
615	3387	2111
616	3393	2106
617	3397	2100
618	3402	2094
619	3407	2088
620	3411	2082
621	3416	2076
622	3422	2071
623	3427	2065
624	3432	2059
625	3437	2053
626	3443	2048
627	3448	2042
628	3454	2037
629	3459	2031
630	3464	2026
631	3469	2020
632	3473	2014
633	3479	2008
634	3484	2002
635	3488	1996
636	3493	1990
637	3498	1984
638	3504	1979
639	3509	1973
640	3514	1968
641	3519	1962
642	3523	1956
643	3528	1950
644	3533	1944
645	3537	1938
646	3544	1933
647	3549	1927
648	3553	1921
649	3558	1916
650	3563	1910
651	3569	1904
652	3573	1898
653	3577	1892
654	3583	1887
655	3588	1881
656	3592	1875
657	3596	1869
658	3601	1863
659	3606	1858
660	3611	1851
661	3616	1846
662	3620	1840
663	3624	1833
664	3629	1828
665	3634	1822
666	3638	1816
667	3643	1810
668	3647	1804
669	3653	1799
670	3658	1793
671	3662	1787
672	3667	1782
673	3673	1776
674	3677	1770
675	3682	1765
676	3687	1759
677	3692	1753
678	3696	1747
679	3703	1742
680	3707	1736
681	3712	1731
682	3717	1725
683	3722	1719
684	3726	1713
685	3731	1708
686	3736	1702
687	3741	1696
688	3745	1690
689	3750	1685
690	3755	1679
691	3760	1673
692	3766	1668
693	3771	1662
694	3778	1658
695	3784	1652
696	3789	1647
697	3795	1642
698	3801	1636
699	3806	1631
700	3811	1625
701	3816	1620
702	3821	1614
703	3826	1608
704	3831	1603
705	3837	1597
706	3842	1592
707	3847	1587
708	3852	1581
709	3858	1575
710	3865	1571
711	3870	1565
712	3875	1559
713	3879	1554
714	3884	1548
715	3889	1542
716	3894	1537
717	3899	1531
718	3905	1526
719	3910	1520
720	3915	1515
721	3920	1509
722	3925	1504
723	3930	1498
724	3935	1492
725	3940	1487
726	3944	1481
727	3949	1475
728	3954	1470
729	3958	1464
730	3964	1458
731	3969	1453
732	3974	1447
733	3979	1442
734	3984	1436
735	3989	1431
736	3995	1425
737	4002	1420
738	4007	1415
739	4013	1410
740	4018	1404
741	4023	1399
742	4029	1393
743	4034	1388
744	4039	1382
745	4043	1376
746	4048	1371
747	4053	1365
748	4058	1360
749	4063	1354
750	4069	1349
751	4074	1343
752	4078	1337
753	4084	1332
754	4089	1327
755	4094	1321
756	4100	1316
757	4105	1310
758	4110	1305
759	4115	1299
760	4119	1293
761	4124	1288
762	4129	1282
763	4133	1276
764	4138	1271
765	4142	1265
766	4146	1259
767	4150	1253
768	4156	1248
769	4161	1242
770	4165	1237
771	4170	1231
772	4174	1225
773	4179	1220
774	4183	1214
775	4188	1209
776	4193	1203
777	4198	1197
778	4202	1192
779	4207	1186
780	4213	1181
781	4217	1175
782	4222	1170
783	4227	1164
784	4233	1159
785	4239	1154
786	4244	1148
787	4249	1143
788	4254	1137
789	4260	1132
790	4266	1127
791	4271	1121
792	4276	1116
793	4281	1110
794	4285	1105
795	4289	1099
796	4295	1094
797	4301	1088
798	4306	1083
799	4311	1077
800	4316	1072
801	4322	1067
802	4327	1061
803	4333	1056
804	4338	1050
805	4343	1045
806	4349	1040
807	4354	1034
808	4359	1029
809	4364	1023
810	4369	1018
811	4374	1012
812	4378	1007
813	4383	1001
814	4388	996
815	4393	990
816	4399	985
817	4404	979
818	4408	974
819	4414	968
820	4419	963
821	4424	958
822	4429	952
823	4434	947
824	4439	941
825	4445	936
826	4450	930
827	4454	925
828	4459	919
829	4464	914
830	4469	909
831	4474	903
832	4480	898
833	4484	892
834	4489	887
835	4493	881
836	4499	876
837	4504	870
838	4509	865
839	4515	860
840	4520	854
841	4526	849
842	4531	843
843	4536	838
844	4541	832
845	4546	827
846	4551	822
847	4556	816
848	4560	811
849	4566	805
850	4570	800
851	4575	794
852	4580	789
853	4586	784
854	4591	778
855	4595	773
856	4600	767
857	4606	762
858	4611	756
859	4615	751
860	4620	745
861	4625	740
862	4630	735
863	4635	729
864	4640	724
865	4646	718
866	4651	713
867	4656	708
868	4661	702
869	4666	697
870	4671	691
871	4677	686
872	4681	681
873	4686	675
874	4692	670
875	4697	664
876	4702	659
877	4706	653
878	4711	648
879	4716	643
880	4721	637
881	4725	632
882	4730	626
883	4736	621
884	4741	616
885	4746	610
886	4751	605
887	4756	599
888	4761	594
889	4766	589
890	4770	583
891	4776	578
892	4781	572
893	4786	567
894	4792	562
895	4796	556
896	4800	551
897	4805	545
898	4810	540
899	4816	535
900	4821	529
901	4827	524
902	4832	519
903	4836	513
904	4841	508
905	4847	502
906	4851	497
907	4856	492
908	4861	486
909	4866	481
910	4871	475
911	4877	470
912	4881	465
913	4885	459
914	4891	454
915	4896	448
916	4901	443
917	4907	438
918	4911	432
919	4915	427
920	4920	422
921	4926	416
922	4931	411
923	4936	406
924	4941	400
925	4945	395
926	4950	389
927	4955	384
928	4960	379
929	4966	373
930	4972	368
931	4976	363
932	4981	357
933	4986	352
934	4992	347
935	4997	341
936	5001	336
937	5006	330
938	5011	325
939	5016	320
940	5021	314
941	5026	309
942	5031	304
943	5036	298
944	5041	293
945	5047	288
946	5052	282
947	5058	277
948	5063	272
949	5068	266
950	5073	261
951	5078	256
952	5084	250
953	5089	245
954	5094	240
955	5099	234
956	5104	229
957	5108	223
958	5113	218
959	5118	213
960	5123	207
961	5127	202
962	5133	197
963	5138	191
964	5142	186
965	5147	181
966	5152	175
967	5158	170
968	5163	165
969	5169	159
970	5174	154
971	5179	149
972	5184	143
973	5189	138
974	5194	133
975	5199	127
976	5204	122
977	5209	117
978	5213	111
979	5218	106
980	5223	101
981	5228	95
982	5233	90
983	5238	85
984	5243	79
985	5248	74
986	5252	69
987	5257	63
988	5262	58
989	5268	53
990	5272	47
991	5278	42
992	5283	37
993	5288	31
994	5294	26
995	5299	21
996	5304	15
997	5310	10
998	5314	5
999	5318	0
