iter	Logloss
0	0.6737293085
1	0.6554796575
2	0.642891688
3	0.6286205291
4	0.6158990723
5	0.6058470079
6	0.5959514264
7	0.586416349
8	0.5784080535
9	0.5725426576
10	0.5645274097
11	0.5590543306
12	0.5535706495
13	0.547535171
14	0.5418142235
15	0.5371640292
16	0.5333886117
17	0.5298247498
18	0.527031037
19	0.5245396737
20	0.5230200263
21	0.5201474375
22	0.5171636532
23	0.514542912
24	0.5123583302
25	0.5100245913
26	0.5073240599
27	0.5065632717
28	0.5045336894
29	0.5026283689
30	0.5012229047
31	0.4998132792
32	0.4976798101
33	0.4962845935
34	0.4961259633
35	0.4946681992
36	0.4935580897
37	0.4923612445
38	0.4909689698
39	0.4898997233
40	0.489151673
41	0.4885319232
42	0.4879033522
43	0.4873166655
44	0.486873221
45	0.485862125
46	0.4850553761
47	0.4844176667
48	0.4838713564
49	0.4833469528
50	0.4830022623
51	0.4824398155
52	0.4816917154
53	0.4812401869
54	0.4810564583
55	0.480924009
56	0.4802418592
57	0.4797570395
58	0.4788770484
59	0.4783876169
60	0.4778358224
61	0.4775876823
62	0.4772781496
63	0.4770640435
64	0.4766423349
65	0.4758579324
66	0.4751613008
67	0.4750207072
68	0.4746699686
69	0.4742684802
70	0.4740158407
71	0.4737434175
72	0.4730115333
73	0.4726568729
74	0.4721381411
75	0.471786883
76	0.4716492371
77	0.4711090412
78	0.470734509
79	0.4699898569
80	0.4698160604
81	0.4696098896
82	0.4695160477
83	0.4691529934
84	0.4689005781
85	0.4681804394
86	0.4677858386
87	0.4675555808
88	0.4669664654
89	0.4665918855
90	0.4664436842
91	0.4662435452
92	0.4661994188
93	0.4661771094
94	0.4657608317
95	0.4650975183
96	0.4643976458
97	0.4641014749
98	0.4636114411
99	0.463513618
100	0.4630471217
101	0.4626815888
102	0.4625883375
103	0.4622564973
104	0.462222885
105	0.4620757329
106	0.4618051226
107	0.4612158066
108	0.4608311225
109	0.4607456455
110	0.4604881536
111	0.4604066443
112	0.4602671437
113	0.4599177593
114	0.4596514658
115	0.4593500455
116	0.4593064797
117	0.4589709849
118	0.4582907437
119	0.4580804676
120	0.4577749972
121	0.457716495
122	0.4575538627
123	0.4574308327
124	0.4572999566
125	0.4568849406
126	0.4568117025
127	0.4565736047
128	0.4562276281
129	0.4561950361
130	0.4554496052
131	0.4548688874
132	0.4548466413
133	0.4545875659
